date,A,B,C,D,E,F,Target
2016-7-1 15:15,3.665,3.563,3.614,255.29,254.827,14.053,13.03111
2016-7-1 15:30,4.226,4.277,4.328,276.704,272.069,16.826,13.182044
2016-7-1 15:45,3.818,4.022,4.073,271.247,267.426,16.62,11.624767
2016-7-1 16:00,3.053,3.206,3.716,288.918,285.416,19.892,7.084085
2016-7-1 16:15,2.696,3.053,3.41,286.988,288.529,20.578,4.919653
2016-7-1 16:30,3.002,3.002,3.053,296.65,288.843,21.404,4.829029
2016-7-1 16:45,3.308,2.9,3.002,283.235,283.236,20.478,3.213361
2016-7-1 17:00,2.543,2.39,2.492,283.146,282.282,22.267,2.061759
2016-7-1 17:15,1.982,2.339,2.645,309.02,309.058,24.429,2.88567
2016-7-1 17:30,3.053,3.359,3.665,312.182,311.788,23.671,8.686355
2016-7-1 17:45,4.022,4.175,4.175,344.599,341.046,55.282,21.76897
2016-7-1 18:00,4.073,4.379,4.532,332.243,331.613,42.54,27.85641
2016-7-1 18:15,3.971,4.226,4.43,319.078,319.667,29.464,24.748957
2016-7-1 18:30,3.869,3.818,3.869,317.348,319.388,31.197,14.972696
2016-7-1 18:45,1.602,2.339,2.849,322.249,325.395,31.914,8.03095
2016-7-1 19:00,2.084,2.492,3.002,325.532,325.786,38.775,1.983231
2016-7-1 19:15,0.595,0.994,1.829,324.576,331.015,33.258,1.781438
2016-7-1 19:30,0,0,0,340.73,325.821,31.027,1.137248
2016-7-1 19:45,1.245,0.149,0.074,145.401,325.89,6.181,0.972291
2016-7-1 20:00,0,0,0,145.424,325.874,6.14,0.878657
2016-7-1 20:15,1.472,0.446,0.52,145.435,325.866,6.148,0.86235
2016-7-1 20:30,2.543,2.186,2.237,145.641,325.822,6.562,0.936733
2016-7-1 20:45,3.257,3.767,3.665,144.995,139.945,6.602,0.810213
2016-7-1 21:00,3.053,3.971,3.512,150.609,139.987,6.813,3.705313
2016-7-1 21:15,3.155,4.226,4.226,146.665,148.801,6.556,6.067423
2016-7-1 21:30,3.41,4.175,4.481,155.242,151.389,6.988,4.048188
2016-7-1 21:45,3.206,4.022,4.481,145.002,144.421,6.711,3.06582
2016-7-1 22:00,2.696,3.92,4.736,169.542,151.904,6.986,2.295018
2016-7-1 22:15,3.359,2.543,2.492,172.116,157.577,6.526,1.378129
2016-7-1 22:30,1.982,1.931,1.194,185.013,157.318,6.139,1.235336
2016-7-1 22:45,2.39,2.9,2.543,158.553,154.493,6.682,1.102597
2016-7-1 23:00,3.359,2.696,2.645,169.948,163.297,6.451,1.028993
2016-7-1 23:15,3.512,2.594,2.033,171.193,163.796,6.354,1.095081
2016-7-1 23:30,3.716,3.92,3.206,173.312,166.623,6.661,1.426409
2016-7-1 23:45,3.155,3.461,2.798,169.334,161.863,6.641,0.954867
2016-7-2 0:00,2.543,2.798,2.033,169.808,167.79,6.497,1.301044
2016-7-2 0:15,1.829,2.747,2.135,183.806,178.947,6.696,1.229518
2016-7-2 0:30,2.645,2.033,2.39,160.364,186.116,6.881,1.001882
2016-7-2 0:45,3.308,2.135,2.849,157.742,187.094,6.902,0.95366
2016-7-2 1:00,3.308,3.002,2.492,163.401,186.164,6.627,0.927602
2016-7-2 1:15,3.359,2.441,1.319,163.744,197.292,7.561,0.903295
2016-7-2 1:30,3.155,2.288,1.37,164.081,198.788,8.816,0.92002
2016-7-2 1:45,2.9,1.982,1.727,165.182,208.87,9.116,0.941816
2016-7-2 2:00,0,0,1.574,196.485,214.086,12.246,0.927184
2016-7-2 2:15,0,1.245,2.135,196.456,289.137,20.253,0.939405
2016-7-2 2:30,0.994,0.223,1.676,196.653,289,21.205,0.953174
2016-7-2 2:45,2.339,1.982,1.194,165.392,187.325,8.569,0.886108
2016-7-2 3:00,1.727,0.074,0.372,172.772,182.912,8.336,0.88622
2016-7-2 3:15,1.472,0.297,1.217,220.838,253.368,19.2,0.949407
2016-7-2 3:30,0.297,0.074,1.778,231.306,253.364,18.956,1.062532
2016-7-2 3:45,1.319,0,1.931,231.181,253.327,19.29,0.93234
2016-7-2 4:00,1.194,1.092,1.727,234.97,255.052,18.946,0.979395
2016-7-2 4:15,1.37,1.982,1.88,231.912,277.956,18.86,0.971156
2016-7-2 4:30,0.372,1.829,2.084,225.669,277.838,19.467,0.952221
2016-7-2 4:45,0,1.245,1.778,225.626,277.768,19.279,0.934831
2016-7-2 5:00,0,0,1.574,225.049,277.815,19.066,0.930115
2016-7-2 5:15,1.017,0,0.994,180.017,277.766,20.232,0.921858
2016-7-2 5:30,1.119,0,0.669,161.506,277.78,20.259,0.92776
2016-7-2 5:45,0,0,0,161.511,277.819,20.669,0.943027
2016-7-2 6:00,1.115,0,0,161.592,277.802,20.482,0.93234
2016-7-2 6:15,0,0,0,162.665,277.778,20.538,0.913889
2016-7-2 6:30,0.646,0,0,162.721,277.805,20.483,0.91147
2016-7-2 6:45,0,0,0,189.46,277.803,20.52,0.903623
2016-7-2 7:00,0.697,0,0.074,189.337,277.814,20.444,0.919977
2016-7-2 7:15,0.743,0,0.297,189.281,277.798,20.023,0.921136
2016-7-2 7:30,0.446,0,0,170.251,277.777,20.105,0.935886
2016-7-2 7:45,2.798,0.423,0,153.005,247.296,20.048,0.944187
2016-7-2 8:00,2.237,1.5,0.149,159.339,169.971,20.104,0.932075
2016-7-2 8:15,2.186,2.39,1.245,147.296,154.753,6.131,0.941574
2016-7-2 8:30,2.543,2.441,1.421,132.775,154.794,6.459,0.925483
2016-7-2 8:45,3.308,3.92,2.696,147.097,141.492,6.752,0.936664
2016-7-2 9:00,2.339,3.971,1.982,157.04,153.332,6.706,0.946648
2016-7-2 9:15,2.594,3.002,1.625,161.456,148.071,6.738,0.971538
2016-7-2 9:30,0.223,2.339,1.068,180.311,168.808,6.83,0.933639
2016-7-2 9:45,0,0.896,0.595,180.285,170.296,6.715,0.9341
2016-7-2 10:00,0,0,0,180.218,170.262,6.753,0.912029
2016-7-2 10:15,0,0,0,180.221,170.211,6.733,0.915823
2016-7-2 10:30,0,0,0.669,126.258,170.159,47.155,0.916725
2016-7-2 10:45,1.347,1.523,0.971,101.655,118.468,20.041,0.942533
2016-7-2 11:00,1.476,1.3,1.523,105.892,104.445,6.46,0.945067
2016-7-2 11:15,1.982,2.084,2.135,129.466,116.356,6.221,0.964005
2016-7-2 11:30,1.398,1.625,1.17,152.261,140.355,6.134,0.966803
2016-7-2 11:45,0.446,0.149,0.446,102.445,103.561,7.633,0.886353
2016-7-2 12:00,0.297,0.223,0.669,103.17,103.541,7.465,1.062003
2016-7-2 12:15,0.149,0.074,0.595,103.057,102.366,7.707,1.144561
2016-7-2 12:30,1.727,1.602,1.931,87.178,87.137,7.673,1.680229
2016-7-2 12:45,0.943,1.17,1.829,62.499,78.749,6.711,1.998428
2016-7-2 13:00,1.829,2.033,2.186,93.497,87.788,7.074,3.204868
2016-7-2 13:15,2.492,2.747,2.9,74.036,74.04,7.313,3.560124
2016-7-2 13:30,2.492,2.951,2.9,88.239,87.318,7.236,1.357177
2016-7-2 13:45,2.441,2.288,2.645,86.223,77.872,6.88,4.232541
2016-7-2 14:00,2.441,2.747,3.002,87.717,83.334,7.351,8.519587
2016-7-2 14:15,2.645,2.9,3.308,61.691,65.827,6.278,7.309617
2016-7-2 14:30,2.798,2.951,3.053,72.155,68.461,7.224,5.047649
2016-7-2 14:45,3.053,3.053,3.257,77.877,74.476,7.8,8.903288
2016-7-2 15:00,3.002,3.512,3.512,66.426,67.741,7.33,11.889259
2016-7-2 15:15,3.359,3.665,3.869,66.899,66.188,7.764,19.571451
2016-7-2 15:30,4.073,4.685,4.736,71.66,71.414,7.642,25.552711
2016-7-2 15:45,4.583,4.43,4.634,66.869,65.14,7.53,26.693148
2016-7-2 16:00,4.94,5.144,4.991,82.428,79.373,7.716,23.952778
2016-7-2 16:15,3.818,3.512,3.971,70.268,69.167,7.562,20.95618
2016-7-2 16:30,3.767,3.665,3.971,78.59,76.347,7.941,26.52275
2016-7-2 16:45,5.042,5.297,5.756,58.595,58.581,6.761,39.359108
2016-7-2 17:00,5.348,5.297,5.501,63.724,62.972,7.722,37.232735
2016-7-2 17:15,3.92,4.481,4.532,75.753,72.539,8.372,30.436775
2016-7-2 17:30,3.41,3.614,3.767,79.816,79.613,8.037,20.421394
2016-7-2 17:45,2.849,3.461,4.43,52.156,53.32,5.68,18.345646
2016-7-2 18:00,2.696,3.818,4.634,56.826,57.772,6.82,23.784094
2016-7-2 18:15,2.288,3.359,4.379,51.128,55.311,6.276,31.259539
2016-7-2 18:30,2.237,3.716,4.787,66.998,66.622,7.468,39.31304
2016-7-2 18:45,1.245,2.849,4.43,76.324,72.362,7.583,41.755535
2016-7-2 19:00,0.074,0.149,1.5,98.395,100.658,25.101,43.746296
2016-7-2 19:15,1.175,1.931,2.084,301.821,317.592,39.354,39.99114
2016-7-2 19:30,0.599,1.124,2.01,252.532,278.96,57.856,30.77536
2016-7-2 19:45,0.845,1.221,2.214,239.642,174.415,4.171,24.659704
2016-7-2 20:00,1.096,1.708,1.986,176.135,113.76,6.173,25.91859
2016-7-2 20:15,0.799,0.822,0.845,258.82,287.065,11.124,21.793962
2016-7-2 20:30,1.472,0.947,0.799,262.786,254.592,13.206,10.582009
2016-7-2 20:45,0.822,0.924,1.449,23.615,35.328,3.182,5.890437
2016-7-2 21:00,1.268,1.523,2.339,73.714,31.363,3.749,6.161164
2016-7-2 21:15,0.548,0.947,1.676,212.901,221.53,24.118,7.512793
2016-7-2 21:30,2.798,3.155,2.441,299.005,304.972,25.309,6.212697
2016-7-2 21:45,3.002,3.257,2.9,297.337,320.519,39.091,4.335866
2016-7-2 22:00,2.543,3.002,2.849,309.409,327.316,112.294,2.829032
2016-7-2 22:15,1.982,2.441,2.492,283.156,303.949,22.03,2.231499
2016-7-2 22:30,3.512,3.512,2.951,265.747,283.994,19.988,1.809171
2016-7-2 22:45,2.543,2.849,2.543,265.918,291.724,21.733,0.966346
2016-7-2 23:00,1.555,2.543,2.747,278.193,305.515,29.152,1.163129
2016-7-2 23:15,1.296,1.17,1.268,261.533,305.424,24.118,0.921929
2016-7-2 23:30,1.421,0.223,0.669,248.103,283.241,24.035,1.400455
2016-7-2 23:45,1.166,1.319,1.068,257.213,295.416,24.325,4.343274
2016-7-3 0:00,0,0.372,1.045,257.063,295.356,29.714,8.315265
2016-7-3 0:15,0.149,0,1.37,187.473,295.305,29.598,7.767716
2016-7-3 0:30,1.625,0,0.149,122.533,295.323,29.423,3.473607
2016-7-3 0:45,2.135,1.37,0,161.144,134.698,24.909,3.722841
2016-7-3 1:00,1.143,0.074,0,180.067,164.48,5.969,5.221954
2016-7-3 1:15,0.743,0,0.149,204.216,164.479,6.505,6.814508
2016-7-3 1:30,0.52,0.149,0,140.653,149.361,11.536,5.730417
2016-7-3 1:45,2.237,0.297,0.223,137.014,122.173,6.546,4.111297
2016-7-3 2:00,1.523,0.52,0,143.109,147.476,6.53,6.028423
2016-7-3 2:15,1.959,1.045,0.297,156.251,167.38,6.462,8.94055
2016-7-3 2:30,1.092,0,0.622,159.122,186.151,6.586,12.829129
2016-7-3 2:45,1.551,0,0.599,141.413,186.112,6.554,14.683096
2016-7-3 3:00,1.829,2.033,2.339,134.243,157.84,6.349,18.920568
2016-7-3 3:15,1.676,2.696,3.104,137.453,150.324,6.431,24.514711
2016-7-3 3:30,1.221,2.747,3.563,136.901,124.496,6.441,30.092552
2016-7-3 3:45,0.646,2.747,3.308,142.117,120.944,6.345,34.071014
2016-7-3 4:00,2.033,3.104,4.073,131.208,98.999,6.849,42.167236
2016-7-3 4:15,1.829,2.084,3.41,126.581,99.198,6.647,46.42012
2016-7-3 4:30,1.523,1.022,3.41,130.303,100.219,6.641,36.57391
2016-7-3 4:45,1.982,1.245,3.155,139.954,119.14,6.58,31.644308
2016-7-3 5:00,0.971,1.727,2.951,140.269,127.106,6.367,24.99566
2016-7-3 5:15,0,0.446,2.237,140.668,121.632,6.513,25.11513
2016-7-3 5:30,0,0,0.971,140.668,113.244,6.621,21.959099
2016-7-3 5:45,0,0.771,0,140.676,324.073,6.587,15.374031
2016-7-3 6:00,0,1.119,0.966,140.664,313.821,23.395,10.056156
2016-7-3 6:15,0.372,1.778,1.982,213.047,313.758,23.34,5.260627
2016-7-3 6:30,1.421,0,0.52,245.654,313.967,100.886,2.560232
2016-7-3 6:45,0.669,1.017,1.421,248.675,294.323,23.147,1.705255
2016-7-3 7:00,2.237,1.829,0.669,253.01,267.573,22.8,1.513466
2016-7-3 7:15,2.033,2.492,2.747,269.417,276.913,19.433,0.848062
2016-7-3 7:30,2.084,2.696,2.543,281.419,294.496,19.969,1.168374
2016-7-3 7:45,2.288,2.288,2.849,275.567,295.075,20.493,1.021115
2016-7-3 8:00,0.669,1.347,2.594,276.83,278.211,16.904,0.992928
2016-7-3 8:15,1.045,1.778,1.931,240.191,274.664,17.076,0.941293
2016-7-3 8:30,0.669,1.88,2.033,250.128,278.839,18.706,0.921742
2016-7-3 8:45,1.676,0.297,1.421,228.246,259.219,18.771,0.936966
2016-7-3 9:00,1.727,1.296,1.119,201.38,238.769,17.957,0.888284
2016-7-3 9:15,2.39,1.523,1.523,212.704,237.065,10.52,0.90842
2016-7-3 9:30,1.931,2.594,2.696,211.053,228.441,12.665,0.896284
2016-7-3 9:45,0.775,2.9,2.849,210.152,226.659,12.281,0.991034
2016-7-3 10:00,0,0.446,2.288,232.846,243.284,12.536,0.90748
2016-7-3 10:15,0,0,1.574,232.815,243.285,19.515,0.935671
2016-7-3 10:30,0,0,1.625,232.768,243.319,37.286,1.245803
2016-7-3 10:45,0.966,0.074,0,190.614,243.249,37.057,0.91163
2016-7-3 11:00,0.149,0.497,1.319,232.868,272.2,13.347,1.096331
2016-7-3 11:15,0.074,0,0.074,262.585,274.264,15.015,1.131693
2016-7-3 11:30,0,0,0,262.54,274.251,15.074,0.914933
2016-7-3 11:45,0,0,0,262.701,274.241,15.136,0.906796
2016-7-3 12:00,0,0,0.297,244.235,126.295,6.356,0.90194
2016-7-3 12:15,0,0,0.074,193.774,89.255,6.365,0.915635
2016-7-3 12:30,0,0,0.297,193.856,89.263,6.394,0.914474
2016-7-3 12:45,0.074,0,0.669,194.03,218.324,6.678,0.991967
2016-7-3 13:00,0.223,0,0.669,133.027,200.549,6.732,0.902803
2016-7-3 13:15,0.743,0.869,1.194,37.751,151.484,13.55,0.960164
2016-7-3 13:30,2.186,1.982,2.288,322.358,313.198,22.266,1.009048
2016-7-3 13:45,2.543,2.543,2.339,320.128,315.882,25.113,1.643162
2016-7-3 14:00,2.492,2.645,2.9,321.988,317.802,26.065,2.405483
2016-7-3 14:15,2.135,2.543,2.951,330.579,327.343,29.457,2.487122
2016-7-3 14:30,2.645,2.441,2.441,311.846,314.766,26.242,1.315832
2016-7-3 14:45,1.982,2.135,2.288,325.163,323.483,31.651,1.395813
2016-7-3 15:00,2.237,2.135,2.441,308.026,307.334,22.89,1.615346
2016-7-3 15:15,2.39,2.492,2.798,289.855,286.115,19.885,1.212423
2016-7-3 15:30,2.237,2.163,2.747,317.244,310.657,22.606,1.094293
2016-7-3 15:45,1.151,0.924,1.676,288.362,270.749,19.222,1.243818
2016-7-3 16:00,1.249,1.3,1.778,306.131,302.365,21.217,1.073749
2016-7-3 16:15,1.574,1.476,1.704,287.473,286.507,19.222,0.882044
2016-7-3 16:30,1.676,1.449,1.727,312.979,305.347,20.325,0.85092
2016-7-3 16:45,1.625,1.551,1.778,317.768,316.559,23.145,0.85384
2016-7-3 17:00,1.727,1.574,2.033,308.86,305.556,23.864,0.82787
2016-7-3 17:15,1.319,0.771,1.37,320.614,321.056,21.216,0.813249
2016-7-3 17:30,0.446,0.372,0.943,295.958,295.007,19.484,0.80784
2016-7-3 17:45,1.574,1.296,1.574,316.01,306.518,21.365,0.811164
2016-7-3 18:00,1.319,0.622,1.217,304.409,295.447,20.861,0.804929
2016-7-3 18:15,1.421,1.166,1.472,304.317,295.433,20.786,0.826445
2016-7-3 18:30,1.625,1.778,1.778,304.322,295.445,20.808,0.857279
2016-7-3 18:45,1.115,1.472,1.829,304.337,295.598,20.714,0.863313
2016-7-3 19:00,0.372,1.574,2.033,304.388,295.715,20.887,0.84475
2016-7-3 19:15,0,0.869,1.676,304.375,295.828,51.831,0.860101
2016-7-3 19:30,0,1.421,1.931,304.505,359.082,139.944,0.86335
2016-7-3 19:45,0,1.319,2.135,304.527,359,140.06,0.861117
2016-7-3 20:00,0,0,1.319,304.491,359.061,140.999,0.893447
2016-7-3 20:15,0,0,0.372,304.472,359.083,140.446,0.91855
2016-7-3 20:30,0,0,0.869,304.482,359.174,142.893,0.892735
2016-7-3 20:45,0,0,1.194,304.449,359.103,51.828,0.899684
2016-7-3 21:00,0.595,0,1.268,203.155,359.151,6.218,0.93903
2016-7-3 21:15,1.143,0.818,0.966,176.991,109.372,6.46,0.914991
2016-7-3 21:30,1.574,0,0.297,153.786,109.426,6.368,0.912941
2016-7-3 21:45,2.339,2.135,1.166,153.784,118.639,6.329,0.979112
2016-7-3 22:00,3.104,3.002,2.288,151.05,124.288,6.425,1.011421
2016-7-3 22:15,2.492,2.645,2.033,152.616,131.625,6.226,0.974853
2016-7-3 22:30,2.747,2.39,2.288,158.325,131.866,6.237,0.991648
2016-7-3 22:45,2.594,2.39,1.88,162.321,138.3,6.29,0.928507
2016-7-3 23:00,1.221,2.237,1.37,162.234,141.306,6.21,0.905677
2016-7-3 23:15,2.033,1.676,1.143,160.06,157.264,6.171,0.954628
2016-7-3 23:30,1.676,1.268,0.966,154.842,157.311,6.169,0.964352
2016-7-3 23:45,2.135,0.223,0.669,142.41,157.273,6.155,0.948667
2016-7-4 0:00,2.594,2.747,0.966,157.825,164.288,6.193,0.94949
2016-7-4 0:15,2.39,2.645,1.319,165.204,181.021,6.197,0.877285
2016-7-4 0:30,2.849,1.041,1.727,160.567,196.576,8.217,0.835682
2016-7-4 0:45,3.461,1.88,1.982,166.701,196.576,8.028,0.799985
2016-7-4 1:00,3.359,2.798,1.88,167.75,196.69,8.065,0.749901
2016-7-4 1:15,2.747,2.135,1.625,165.939,199.622,8.966,0.765461
2016-7-4 1:30,0,0,0.72,149.273,194.207,9.442,0.618748
2016-7-4 1:45,1.472,0,0.149,106.679,191.003,2.701,0.707603
2016-7-4 2:00,2.645,1.755,0,127.911,146.84,20.453,0.955233
2016-7-4 2:15,3.41,1.319,0,148.383,153.043,20.319,0.836081
2016-7-4 2:30,3.206,1.068,0,144.058,153.002,20.314,0.915827
2016-7-4 2:45,3.461,1.88,0,143.662,153.079,20.253,1.052459
2016-7-4 3:00,3.665,1.931,0,139.778,153.083,20.274,1.176701
2016-7-4 3:15,3.92,2.186,0.223,144.885,153.165,20.287,1.063567
2016-7-4 3:30,4.838,3.563,1.472,148.006,159.682,6.261,1.001278
2016-7-4 3:45,4.073,3.716,1.88,148.321,163.417,6.22,0.994707
2016-7-4 4:00,3.92,4.634,2.237,145.319,162.55,6.328,0.968956
2016-7-4 4:15,4.022,4.277,2.084,153.988,166.156,6.438,0.949913
2016-7-4 4:30,3.665,4.532,2.084,149.181,162.852,6.245,0.926168
2016-7-4 4:45,3.41,4.532,1.931,149.614,167.913,6.225,0.947339
2016-7-4 5:00,4.022,3.665,1.068,154.319,173.264,6.302,0.932074
2016-7-4 5:15,4.43,4.481,1.88,156.975,165.383,6.557,0.920763
2016-7-4 5:30,4.073,5.45,2.39,151.395,160.902,6.041,0.943211
2016-7-4 5:45,3.818,5.654,3.461,155.327,162.05,6.152,0.86951
2016-7-4 6:00,3.155,4.685,3.971,153.111,159.521,6.108,0.891309
2016-7-4 6:15,2.594,4.838,3.257,151.583,164.488,6.033,0.982579
2016-7-4 6:30,1.88,3.818,4.073,168.522,167.909,6.113,0.946136
2016-7-4 6:45,3.512,3.716,2.033,161.532,174.038,6.208,0.966461
2016-7-4 7:00,3.257,3.308,2.339,156.892,181.827,6.853,0.966405
2016-7-4 7:15,3.308,2.39,1.982,159.792,188.019,7.748,0.951427
2016-7-4 7:30,3.716,3.155,2.492,150.622,182.204,7.743,0.923407
2016-7-4 7:45,3.818,2.951,1.319,151.517,182.745,8.297,0.931181
2016-7-4 8:00,4.073,4.583,2.9,149.342,164.115,6.49,0.943037
2016-7-4 8:15,4.022,5.195,2.798,153.347,165.065,6.111,0.887835
2016-7-4 8:30,3.716,4.685,3.053,156.25,166.247,6.338,0.963684
2016-7-4 8:45,3.257,4.328,1.931,148.046,163.45,6.304,0.912726
2016-7-4 9:00,3.359,4.583,1.625,146.436,158.118,6.16,0.911396
2016-7-4 9:15,2.696,4.532,2.441,167.836,162.736,5.987,0.900112
2016-7-4 9:30,3.155,4.43,2.339,164.099,161.296,5.963,0.909234
2016-7-4 9:45,3.665,4.889,2.441,163.794,165.762,6.119,0.918507
2016-7-4 10:00,2.951,3.206,1.504,157.958,164.096,5.397,0.921312
2016-7-4 10:15,2.441,3.971,1.931,164.264,168.987,5.902,0.936413
2016-7-4 10:30,2.594,3.614,1.982,169.014,171.324,6.269,0.928451
2016-7-4 10:45,0.595,2.135,3.002,177.688,175.752,6.335,0.931961
2016-7-4 11:00,2.186,2.186,2.033,160.569,172.997,7.73,0.971146
2016-7-4 11:15,0,0.074,1.37,160.693,173.07,6.45,0.950745
2016-7-4 11:30,0,0.149,0.794,332.468,173.084,8.966,0.939868
2016-7-4 11:45,0,0,0,354.133,172.997,8.812,0.899089
2016-7-4 12:00,0.818,0.794,0,349.76,214.77,8.799,0.764892
2016-7-4 12:15,0,0.149,0.149,341.283,352.848,39.712,0.682365
2016-7-4 12:30,0.595,0.818,1.068,352.187,347.173,32.069,0.890055
2016-7-4 12:45,1.272,1.374,1.574,321.061,314.016,25.644,1.134983
2016-7-4 13:00,1.574,1.472,1.194,340.422,325.417,22.958,0.999718
2016-7-4 13:15,2.033,2.135,1.931,329.881,329.391,30.906,0.961277
2016-7-4 13:30,2.339,2.441,2.492,331.284,325.122,30.085,0.951676
2016-7-4 13:45,2.39,2.288,2.339,323.139,316.376,21.407,0.934864
2016-7-4 14:00,2.033,1.931,1.982,332.816,325.886,28.197,0.960438
2016-7-4 14:15,2.135,2.237,2.339,329.512,319.714,26.983,1.225548
2016-7-4 14:30,2.798,2.9,2.9,308.661,304.072,22.335,6.403797
2016-7-4 14:45,3.308,3.818,3.716,286.424,284.384,19.235,4.201373
2016-7-4 15:00,2.288,2.339,2.543,312.376,306.868,21.834,1.784645
2016-7-4 15:15,1.908,1.884,2.237,283.886,284.086,18.924,3.443992
2016-7-4 15:30,2.645,2.849,3.104,272.263,273.986,15.512,2.400912
2016-7-4 15:45,1.704,1.551,1.755,256.475,265.763,17.074,6.046009
2016-7-4 16:00,3.614,3.665,3.512,265.615,270.728,15.251,12.055638
2016-7-4 16:15,3.41,3.716,3.767,265.985,266.968,14.287,13.44664
2016-7-4 16:30,4.073,4.226,4.379,284.864,282.392,19.746,16.430004
2016-7-4 16:45,4.226,4.379,4.481,284.106,281.136,18.975,7.140926
