date,hight,lowt,meant,sidu,fallrain,IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,Target
2012/1/16,15.3,12,13.4,90,9.5,426649.0953,-31027.74008,-14815.62905,4094.810429,0.895647032,2735.102901,406676.6261
2012/1/17,17.7,10.8,13.5,74,0,424150.5722,-59727.14997,7685.71306,5804.498678,-2968.624189,-1490.813296,379858.6116
2012/1/18,24.1,13,16.9,74,0,421537.6041,-88251.75737,23328.24984,-5855.834284,-2616.769801,158.6729944,338332.4332
2012/1/19,23.6,16.5,19.2,85,0,419114.6656,-115194.6438,21163.71624,-3092.071613,-866.4445408,956.9259799,299096.7588
2012/1/20,18.5,15.5,16.4,86,0,417137.6501,-139243.4046,3558.458981,5874.537437,402.1912925,-2101.270578,256524.5339
2012/1/21,16.1,13.8,14.7,90,0,415733.8129,-159350.1613,-16517.87833,-228.0795549,832.89064,2378.686163,211083.6236
2012/1/22,13.6,7.4,9.7,93,2.5,414933.7719,-174745.766,-25143.62682,-5595.333356,477.5015687,-2570.146118,184195.1711
2012/1/23,8.9,5.2,7,87,7.5,414657.1114,-184958.6837,-16962.98323,2035.251034,-811.2901769,2134.090332,170880.0583
2012/1/24,8,6,6.7,90,1.9,415242.7316,-189229.8404,2384.646854,4101.037822,-1745.834732,-1755.782695,177393.8077
2012/1/25,7.3,4.5,6.1,77,1.3,416833.3128,-187272.6612,18923.64458,-4981.336789,-2168.317669,76.20264039,194357.115
2012/1/26,7.7,4.5,6.1,86,0.8,419347.8333,-179352.8502,20112.67602,-3459.125712,-2519.245599,1338.891204,217649.2653
2012/1/27,11.4,7,8.7,93,0,422630.2607,-166091.4131,4700.914055,6128.716797,-1781.118732,-3187.523109,224845.3996
2012/1/28,20.2,10.6,13.8,90,0.1,426632.8565,-148217.8112,-15671.64108,781.6599258,1050.734916,4146.84849,245128.5361
2012/1/29,15.4,10.9,12.8,82,0,431089.6575,-126899.2997,-25636.88805,-7952.040162,3190.067338,-4814.738658,265558.5017
2012/1/30,17.9,11.8,13.8,67,0,435645.235,-103516.8922,-17207.15521,2262.412011,1269.036448,4705.745574,326358.9406
2012/1/31,17.5,11.1,13.7,57,0,440143.2815,-79235.21519,4716.390966,8782.162485,-2656.428141,-3507.571601,373947.4573
2012/2/1,18,6.5,12,67,0,444521.4906,-55059.76746,25011.68969,-6065.901927,-3186.768993,1447.51067,420499.6089
2012/2/2,15,10.2,12.6,68,0,448636.7389,-31994.91029,28528.16383,-7598.010951,967.3152928,1439.196669,456526.5826
2012/2/3,10.3,7.1,8.6,76,1.7,452431.9943,-10810.41942,11750.97071,10811.44108,5068.387834,-4131.45472,482014.8668
2012/2/4,15,8.2,10.7,75,0,455903.3502,7959.302747,-13868.9367,4712.064458,3846.822342,6548.92246,476324.1351
2012/2/5,18.9,12.1,14.8,79,0.1,459166.0208,24100.99252,-29603.78987,-14067.08334,-1690.994716,-7643.877148,429846.7752
2012/2/6,25.6,14.9,18.5,81,0,462445.3621,37693.98459,-23292.6536,870.4227684,-5131.917043,7267.244581,464888.7667
2012/2/7,20.5,9.6,12.6,69,11,465978.7673,48940.04314,780.7827296,15047.54446,-2706.412326,-5645.284202,515061.7625
2012/2/8,11.1,6.8,9,59,0.2,469677.9605,57739.41788,24058.82235,-8418.766398,1813.550876,2539.60459,538299.5872
2012/2/9,12.4,5,7.9,61,0.1,473564.2952,64184.06341,28662.75741,-12663.11695,3348.867178,1479.257833,545467.2671
2012/2/10,10.8,6.3,9,79,0.1,477691.0439,68468.46464,11033.67444,15121.71834,1145.491375,-5986.214435,559435.8398
2012/2/11,9.8,5.2,7,72,0,481984.6634,70691.23582,-15609.6437,6154.10498,-1919.374863,9723.09501,545443.2395
2012/2/12,13.1,6.6,9.2,79,0,486408.4969,71044.03635,-30839.60663,-19313.26634,-2691.036342,-11835.96729,479908.0498
2012/2/13,26.6,10.2,16.6,71,0,491060.672,69911.15679,-22502.96232,2692.816377,-746.4896258,11459.74969,544931.2765
2012/2/14,25.2,17,20.2,78,0,495869.7063,67501.50572,3142.721026,18844.6928,1177.97216,-8743.921884,568043.4632
2012/2/15,27.5,19.5,22.1,80,0.1,500861.3647,64134.85134,26503.53859,-11962.65208,1325.772717,3920.708793,577969.1243
2012/2/16,21.1,10.4,13.9,64,0,505988.6452,60040.56593,29383.03169,-14313.17562,169.7032739,1890.562429,578373.0254
2012/2/17,14.6,8.9,10.5,57,0,511216.1505,55442.40149,9244.333369,19238.60845,-788.1547599,-7664.035862,583104.9183
2012/2/18,15.9,8,10.6,52,0,516508.7859,50543.5541,-18573.12471,5945.510326,-888.5325476,12102.46877,564016.0351
2012/2/19,16.3,8.1,11.5,47,0,521846.0373,45536.42504,-32481.38591,-23010.59224,-471.9757602,-14282.91339,494408.8073
2012/2/20,18.6,8.7,13.8,59,0,527215.3684,40585.88367,-21363.68864,4458.582743,68.46128716,13570.28521,569015.8572
2012/2/21,24,14.8,18.2,66,0,532513.0608,35713.16162,6468.71715,21886.00942,514.7452741,-10029.16861,593434.7433
2012/2/22,21.8,17.4,19.3,89,11.8,537675.1927,30954.03512,29770.98281,-14577.83041,896.0105086,4446.033549,599951.7864
2012/2/23,26.4,19.7,22.1,86,0,542625.5234,26310.79755,30568.6072,-15816.66261,827.3343701,2274.072777,602974.3296
2012/2/24,24.2,15.3,20.8,88,7,547266.63,21757.11516,8084.394992,22666.06899,18.46221815,-8441.364425,605699.0892
2012/2/25,15.6,9.6,12.7,83,12.9,551626.4109,17415.92826,-20251.23328,6532.529126,-604.5092874,13240.75491,580120.6501
2012/2/26,9.8,6.9,8.2,75,2.4,555743.4633,13423.95775,-32463.9739,-26293.09528,-147.9738661,-15391.64389,505325.3207
2012/2/27,7,5.3,6,82,1.4,559641.1317,9883.684806,-19171.6029,5131.002679,830.1016935,14629.78397,586919.8529
2012/2/28,12.8,5.2,8.2,81,32.1,563236.3663,6760.412677,9100.181182,25118.72192,884.8232335,-10768.9092,607814.6433
2012/2/29,13.1,9.2,11,86,7,566570.8074,4154.798826,30616.30736,-15980.00038,168.2515768,4966.129864,598766.4189
2012/3/1,17.4,12.1,13.9,87,0,569740.3428,2219.515257,28992.66152,-18601.59125,-135.4915092,1902.144205,587180.8814
2012/3/2,26.1,15.1,19.1,79,0,572828.3796,1054.617147,5383.580927,24419.06882,48.49758071,-8460.566912,605129.86
2012/3/3,19.7,13.1,15.8,79,0,575726.2923,494.4844552,-22664.59078,8153.91211,-410.9263362,13457.3564,587030.0964
2012/3/4,22,15.3,17.7,87,1.4,578401.2962,431.3896706,-33756.20667,-27978.33372,-881.8317786,-15548.52173,507314.3327
2012/3/5,23.2,18.6,20.4,88,0.1,580919.2088,853.770504,-18859.33205,4395.309425,283.7603094,14502.8213,593432.8027
2012/3/6,21.9,18.7,20,90,1.4,583215.7435,1580.501326,11003.46513,26054.76633,2060.294314,-10448.92934,630838.6558
2012/3/7,22,12.8,16.5,91,31,585172.6366,2364.793244,33099.21836,-15714.79595,1753.946323,4588.067137,629351.1981
2012/3/8,13.1,11.1,11.9,91,18.5,586790.1941,3121.929894,30686.54283,-18304.65343,-625.9833734,2396.162849,615536.4408
2012/3/9,11.2,9.2,10.3,79,1.7,588167.6431,3914.039727,5677.931951,24172.80146,-1960.50584,-8715.518146,619568.4566
2012/3/10,12.1,7.4,9.6,70,0.7,589389.9003,4803.706233,-23160.06265,7183.713697,-413.153556,13301.6221,594479.5325
2012/3/11,11,8.2,9.3,82,8.1,590531.4913,5838.933878,-34405.30174,-27249.74264,1919.753176,-15129.54738,524287.2003
2012/3/12,12.5,9.1,10.7,85,4.6,591624.3986,7004.52604,-20024.90491,5311.364451,1641.678011,13858.3497,600805.6548
2012/3/13,13,10.7,11.5,87,2,592680.5931,8244.003026,8888.605956,24611.15878,-1179.128914,-9742.048167,626518.3098
2012/3/14,17.3,11.3,13.6,85,0.5,593671.6309,9439.714213,30621.61051,-16553.46496,-2815.211887,3628.062929,626076.4757
2012/3/15,23.6,14.4,17.5,84,0.8,594528.245,10432.07123,29234.59786,-16707.94523,-632.6183934,3400.929318,618822.1644
2012/3/16,25.8,17.7,20.3,85,0,595406.7997,11330.55734,6676.376136,24559.73882,3388.955439,-9703.365923,625578.7824
2012/3/17,28.4,19.4,22.8,80,0,596379.0902,12139.15248,-19945.91704,4827.29785,3603.28028,13702.54362,611286.7326
2012/3/18,30,20,24.3,75,0,597357.4085,12655.77141,-31555.23734,-27353.34434,-1822.828384,-14690.79762,536615.4361
2012/3/19,27.4,19.8,23.3,78,0,598278.6033,12701.10401,-20399.22922,8497.631449,-6441.708775,12531.69623,613053.5055
2012/3/20,25.6,19,21.9,74,0,599068.9985,12106.78656,4911.686905,23864.02007,-3054.323494,-7603.536826,634181.1179
2012/3/21,54.9,19,21.3,79,0,599741.0741,10841.91131,26251.75881,-19992.56026,5931.30322,1221.103677,631828.9011
2012/3/22,27.6,18.6,22.3,68,0,600296.9381,8913.127847,28849.93372,-14514.81126,9338.202399,5389.033445,633154.6849
2012/3/23,24.4,12.1,19.1,74,0.4,600925.1355,6574.78324,11681.63685,27573.94347,1280.207413,-10666.04696,631196.1672
2012/3/24,20.9,11.3,15,46,0.2,601667.0154,3916.835392,-13123.92626,946.8592479,-10412.98528,13136.15863,595362.1062
2012/3/25,24.3,10.4,16.9,48,0,602433.6773,872.1036448,-28881.68853,-29032.27599,-11478.53603,-12378.03502,520627.7392
2012/3/26,25.8,9.9,17.1,53,0,603224.8027,-2519.011533,-25054.13145,13695.46435,1846.549677,8655.165868,593833.6585
2012/3/27,54.9,10.9,18.3,48,0,604137.3652,-6100.248275,-4212.936314,23235.54856,15385.45486,-2982.75046,622808.9177
2012/3/28,28.1,13.8,20.2,53,0,605088.1055,-9947.963393,19053.38246,-26616.55549,11193.23512,-3737.512586,628707.0744
2012/3/29,27.5,17.3,21.8,57,0,605491.3831,-14687.18112,28152.71107,-11080.10074,-8962.483128,10195.11464,630800.1211
2012/3/30,25.5,18.3,22,69,0,605421.3355,-20083.97541,18556.67931,35927.3009,-19414.41741,-13642.61071,628385.3288
2012/3/31,23.2,18.3,21,61,5.9,604974.8621,-25740.71883,-1198.849236,-5555.948436,-3822.596075,13605.73164,585920.6878
2012/4/1,26,17.1,21.1,60,0,604410.6193,-31000.15772,-17000.18268,-36483.14141,20481.28113,-9524.719334,531687.4456
2012/4/2,26,18.8,21.7,70,0,603862.9831,-35320.39815,-19858.23691,24062.44463,20951.21031,2280.234537,589470.3534
2012/4/3,28.2,21.4,24.3,77,0,603380.8984,-38274.45991,-10734.78041,27692.68841,-7357.902927,6302.446399,577405.2394
2012/4/4,27,21.6,23.8,70,0,603235.1687,-39186.77423,3081.175243,-38872.01478,-29940.39056,-13584.31433,376579.8366
2012/4/5,22.9,19.8,21.1,88,30.7,604813.9876,-36295.3171,14071.52802,-11548.32133,-14918.93452,16046.68664,546206.9514
2012/4/6,20.5,19.1,19.9,96,26.2,607091.9802,-30922.0012,11922.7229,40573.2192,16529.52989,-16005.04577,615666.8075
2012/4/7,21.7,17.3,19.2,88,2.4,609634.6348,-23968.12962,-2279.394098,-5621.620421,24498.6347,13983.03922,601560.7572
2012/4/8,20.1,17.2,19,90,8.7,612451.3156,-15895.76595,-15653.04055,-34884.70888,2005.806264,-10921.96606,534777.5843
2012/4/9,26.7,17.9,21.1,90,10.7,615311.7206,-7491.120754,-15862.64468,18078.94816,-20782.46645,7010.244034,605692.9403
2012/4/10,29.1,21.2,24.3,81,0,617995.3435,465.5267793,-1470.397885,24932.93005,-15861.05619,-2428.783722,642960.9532
2012/4/11,30.5,22,24.8,81,0,620277.2054,7250.001337,16311.20742,-24794.60545,8578.464278,-2176.754069,658615.8571
2012/4/12,28.8,22,25.2,81,0,622007.1041,12365.47878,22841.08402,-12505.03285,21345.04536,7517.063052,671566.4029
2012/4/13,28.7,21.3,24.6,87,71.4,623702.5547,16218.61301,12792.30937,27397.51966,8701.511555,-12462.25,674561.5725
2012/4/14,29.4,21.9,25,89,1.1,625406.3563,18746.54409,-7729.240881,-121.8226251,-13392.28151,15793.7911,651922.0768
2012/4/15,28.7,24.7,26.1,84,0,626898.7397,19631.05039,-24600.8099,-24623.19938,-19296.97427,-16644.01347,568243.0498
2012/4/16,29,22.9,25.3,90,4.7,628218.0369,18937.98892,-24303.5731,11073.13022,-2274.911564,15032.5361,658683.4087
2012/4/17,23.2,20.5,22.3,91,17.5,629369.8575,16810.92267,-4970.707237,17606.86792,17585.74908,-10675.33351,652691.152
2012/4/18,23.1,20.6,21.3,90,3.4,630744.2743,13914.64912,21175.66853,-17166.97861,17493.89934,4292.893875,645452.2465
2012/4/19,22.6,20.7,21.7,96,36.3,632594.7515,10761.92351,34134.80317,-9306.151643,-3302.275438,2453.699488,645282.16
2012/4/20,21.9,20.7,21.2,97,40.2,634858.2441,7436.892388,20752.06576,17624.21126,-22382.87907,-9299.131468,639826.7247
2012/4/21,28.5,19.9,23.1,81,0,637317.9819,3790.605755,-12600.15063,1122.112029,-17681.59592,14714.02951,623527.0877
2012/4/22,30.5,21,24.7,69,0,639879.6728,-194.3406497,-41417.36873,-14588.05949,7875.041513,-17760.08604,554364.4491
2012/4/23,27.9,22.6,24.5,79,1.7,642779.8849,-4172.197782,-40763.17898,4160.917258,26975.64423,17592.16807,639950.3883
2012/4/24,28.4,22.7,26.1,85,3.7,645723.4907,-8461.263953,-7917.610458,8153.000239,15070.72424,-15051.45679,683751.198
2012/4/25,29.3,23.5,26.9,87,10.2,647865.3738,-13990.24619,33690.0725,-5279.60714,-17650.82313,10990.85485,702421.7076
2012/4/26,28,20.8,24.1,75,4.1,649100.5437,-20668.13415,54091.82404,554.1644406,-30352.83032,-4055.555988,677476.2443
2012/4/27,25.6,20.3,22.7,86,49.3,649782.9676,-27657.85924,38256.43011,2905.369164,-2406.864492,-3716.875978,661913.8068
2012/4/28,27.2,20.5,23.1,90,19.9,650360.1966,-33896.33621,-3911.179689,-5640.206022,34207.37129,11637.23822,640627.7629
2012/4/29,29.8,22.2,26.1,87,16.6,651095.2441,-38539.89105,-44641.33389,3361.785365,30124.93661,-18693.43935,594271.3286
2012/4/30,30.8,26.5,27.9,84,0,651747.542,-41351.00046,-56841.83319,5756.391547,-16282.96737,23577.8152,519058.8737
2012/5/1,31,26.8,28.5,83,0,653417.9669,-40623.91762,-29159.09883,-8682.564164,-46449.47699,-24515.71252,375455.6298
2012/5/2,32.3,26.8,28.9,82,0,657219.3981,-34968.30463,20391.54157,-5310.965434,-19390.84858,17442.86592,617809.3421
2012/5/3,30.1,23.7,26.9,89,76.6,661607.0171,-26498.31676,51076.13825,7230.090065,28222.74213,-6338.598379,712075.59
2012/5/4,32.5,24.1,27.2,86,4.9,666034.6301,-16455.37783,39265.88103,6104.554714,38246.16299,-5692.181071,729746.6362
2012/5/5,28.3,23.1,25.6,90,83.5,670432.1882,-5564.950114,-2883.559645,-7009.142439,2997.128334,15853.08292,683837.7388
2012/5/6,30.7,23.6,25.8,85,0.7,674612.5909,5309.050594,-39854.52204,-8175.759295,-31609.60953,-21697.56019,599372.8041
2012/5/7,30.5,23.7,26.5,81,0,678391.2124,15336.06301,-41933.81719,10494.91621,-25098.54462,22381.13942,694160.0253
2012/5/8,31.5,24.9,27.9,80,0,681459.9313,23637.87848,-8877.712933,9632.856057,10378.2685,-17291.985,749042.3089
2012/5/9,34,25.5,29.2,77,0,683664.8749,29698.65762,31734.12803,-15131.51842,30816.67781,9208.766581,780198.8921
2012/5/10,33.6,23.8,29,78,19.4,685571.5726,34016.7136,48012.92175,-6046.666046,15691.14445,815.7299391,786797.5275
2012/5/11,29.2,24.8,26.1,89,13.1,687318.9132,36716.29072,26456.54051,19904.20742,-14600.93163,-10615.18582,756029.8029
2012/5/12,30.6,23.7,26.6,80,0,688836.091,37737.00184,-17022.97304,-633.7848303,-26029.97214,18214.15787,712956.4548
2012/5/13,29.6,24.7,26.5,86,24.8,690184.7327,37249.18213,-48152.81794,-21959.40595,-8265.590112,-21500.62528,613991.4693
2012/5/14,32.1,24.2,27.6,81,0,691719.6611,35805.9163,-41119.09748,9781.855344,16951.81837,19688.34088,730249.6746
2012/5/15,32.5,25.5,28.1,82,4.4,693304.819,33394.88389,-1175.198783,19171.79818,20803.40421,-13789.23964,763878.4315
2012/5/16,31.2,23.7,26.4,88,39.7,694702.6165,29895.57417,39986.08127,-18695.97806,1014.953089,5436.488337,751334.7924
2012/5/17,29.5,25.1,26.8,87,0.2,696073.9727,25685.3887,50252.49097,-11462.59261,-17094.1465,3779.186895,754220.6246
2012/5/18,27.4,24.7,25.7,92,3.6,697342.9294,20911.69244,21120.98714,24442.31954,-13810.77759,-11963.78961,734915.1074
2012/5/19,31,23.5,25.8,89,8,698675.7299,16015.53434,-24706.25019,1361.948395,4330.374743,17734.37872,699906.9319
2012/5/20,32.5,24.8,27.3,86,4,700243.2584,11426.5425,-51463.44612,-26179.8216,14899.63791,-20342.0889,618710.037
2012/5/21,28.6,24.4,26.3,79,2.2,702017.521,7283.832508,-38684.84522,9130.40745,6640.077516,18906.77863,697491.6824
2012/5/22,29.1,23.1,26.1,65,0,703919.1495,3595.155363,3370.74468,23039.77816,-8509.972786,-13994.77049,715239.8697
2012/5/23,31,23,26.6,64,0,705771.2627,208.2791498,41989.27125,-19076.04423,-11996.88728,6452.123225,728518.7869
2012/5/24,31.5,23.7,27.4,63,0,707512.1684,-2917.726106,47875.43995,-15418.36223,-784.3526335,2487.380333,747066.1836
2012/5/25,32,25.1,27.9,75,0,709077.6886,-5831.474585,17269.29336,26244.34425,10312.84961,-11043.79361,764186.9547
2012/5/26,29,26,27,82,0.5,710302.1152,-8685.17167,-25752.15323,4810.066413,8012.203385,17907.69975,724424.9651
2012/5/27,31.3,25,26.8,85,17.9,711166.6766,-11428.00504,-47616.90605,-28211.98126,-2961.15041,-21183.38735,620664.6072
2012/5/28,26.8,25.1,25.8,94,1.5,711634.8702,-13975.85167,-31497.52884,7569.330181,-7961.29599,20660.50355,699706.1216
2012/5/29,29.2,24.5,26.5,78,0.1,711850.8704,-15990.81607,10052.05917,25939.55618,-1461.050596,-15770.83113,716731.3562
2012/5/30,31,24.5,27.1,78,16.8,712003.5914,-17065.25809,44499.88661,-18685.36689,6475.525981,7541.148075,732453.1265
2012/5/31,28.8,24.1,25.8,86,13.7,712242.1957,-16859.87552,44375.99888,-18728.50035,4530.066026,2502.197204,704377.0076
2012/6/1,30,23.5,26.2,74,0,712907.749,-14894.31195,9109.539107,26962.93808,-4200.155656,-12661.54345,692227.8633
2012/6/2,30.6,24.5,26.7,78,0.1,714025.4762,-11188.35351,-35193.00778,6368.376357,-8095.086418,19886.05164,680873.3556
2012/6/3,28.3,24.6,26.2,80,0,715308.7876,-6249.660165,-55030.52414,-31018.20639,-2261.533806,-22958.31266,579167.4892
2012/6/4,31,24.7,27.2,78,0,716929.0163,-154.0527127,-33445.91059,8283.512036,6799.122002,21129.54371,701671.856
2012/6/5,32.2,25,28.2,74,0,718882.641,6734.636309,14752.83836,27244.67296,7364.270507,-15487.49649,752634.8699
2012/6/6,32.9,25.5,28.8,72,0,720975.5281,13741.8218,52962.79386,-22373.2379,-2603.207463,6826.282492,774687.1494
2012/6/7,33.4,25.8,29.1,73,0,722949.5091,20081.75237,50981.7108,-16852.12606,-10880.69734,3037.212629,790914.6474
2012/6/8,33,26.3,29,76,0,724532.295,24994.29401,9207.502927,31954.35864,-5384.861844,-11765.09118,797247.6481
2012/6/9,33.1,26.6,29.3,81,0,725623.3894,28027.45169,-40276.50477,2480.077196,9500.877173,18376.88074,773915.388
2012/6/10,32,26.6,28.9,82,23,726183.2617,28960.28422,-58246.8856,-33590.66535,15694.02593,-20868.73527,665959.3983
2012/6/11,31.3,26.6,28.8,83,11.2,726544.8192,28149.47703,-28891.48126,14557.13219,3725.389537,19532.93128,766530.4764
2012/6/12,31.7,25.5,27.9,86,9.8,726848.8861,25834.34659,25479.39606,27090.88177,-14782.95644,-14862.33679,775751.392
2012/6/13,30.4,24.9,26.6,89,0.3,727173.353,22242.22026,61330.02894,-28661.41048,-17943.37462,7993.350179,756857.5177
2012/6/14,32.2,24.2,27.4,79,0,727780.3839,17840.43329,48750.0205,-13400.18324,681.862902,-445.6497976,759339.7095
2012/6/15,32.6,24.2,27.9,80,26.3,728802.2681,12922.21967,-4713.246649,35310.35376,20337.08857,-7127.018713,771666.6851
2012/6/16,29.2,24.8,26.8,87,2.2,730021.7258,7312.804615,-58929.67053,-5267.528702,15421.46748,12698.21265,728392.998
2012/6/17,30.4,24.5,26.6,88,8.5,730822.798,388.9175538,-70898.41557,-33224.50045,-10840.21335,-15275.9957,615091.3136
2012/6/18,31.6,25,27.9,80,1.8,731292.7503,-7573.632721,-26457.9311,24759.24315,-24665.38628,15631.89839,732166.2522
2012/6/19,33,26.2,29.1,73,0,731401.8987,-16310.64285,44301.75409,21399.58741,-5941.148386,-13796.03771,781340.4819
2012/6/20,35.1,26.8,30.1,70,0.1,731105.9857,-25480.59412,87295.40503,-37770.97347,23463.6253,10921.6011,807380.8253
2012/6/21,30,24.5,27.2,88,64.9,730482.6517,-34503.0972,66062.89681,-978.7420429,25614.13225,-6887.124754,788453.0654
2012/6/22,29.2,25,26.3,93,34.8,729670.111,-42646.74873,-7979.217614,41214.01787,-4988.268479,2597.572594,707558.2674
2012/6/23,29.1,25.8,27.2,89,8.2,729278.5224,-48596.43268,-80281.8748,-20813.40338,-30810.46423,2226.960713,436067.1441
2012/6/24,29,24.6,26.7,91,48.5,730737.2534,-50310.87613,-94233.11438,-34339.66935,-18656.4459,-9211.263039,497848.1906
2012/6/25,30.1,26.3,28,84,2.9,732903.3697,-49064.68868,-41397.78681,33505.2326,11398.91583,14087.51377,691213.4521
2012/6/26,30.2,27.3,28.2,84,0.6,735267.3596,-45693.32549,39061.71101,21112.71659,22316.45371,-15300.86919,748550.1975
2012/6/27,31.8,27,29.1,75,0,737783.219,-40583.46074,90341.32286,-40745.64573,7033.315635,12088.32324,770939.5878
2012/6/28,33.9,25.9,28.8,76,0,740179.3045,-34438.76397,76997.6792,-6133.358928,-11247.19943,-5196.859994,785454.5211
2012/6/29,35,25.9,29.7,74,0.1,742107.4653,-28050.34249,9865.264887,42995.95427,-12013.29522,-3306.677662,783152.9341
2012/6/30,30.8,24.8,26.9,84,21.6,743414.6343,-21904.46283,-61850.57251,-8175.747431,594.5929208,12198.74663,693498.907
2012/7/1,31.6,24.6,27.6,80,0.3,744220.0675,-16039.07549,-86240.0393,-38832.8488,9251.925008,-18115.14824,586846.6836
2012/7/2,32.2,26,28.7,74,0,745079.2337,-9913.834073,-46383.17052,22020.41912,6583.81391,19648.6945,736154.8462
2012/7/3,32,25,28.5,75,0,745962.6905,-3661.882697,25881.96937,29278.12108,-1834.545262,-16662.51301,785507.9978
2012/7/4,33.4,25.2,28.5,77,8.6,746723.0941,2421.883084,75795.40646,-32141.84628,-6462.729141,9744.360411,804510.1558
2012/7/5,30.8,25.6,27.7,84,2.6,747344.4454,8220.198897,67832.29801,-15980.05795,-3771.240549,2.470312178,797650.4724
2012/7/6,31.4,25.9,27.8,84,0.5,748083.7234,13956.19099,11163.58735,37424.29221,2121.343689,-10314.91819,785821.3207
2012/7/7,30.9,25.5,27.8,83,0.1,749082.4645,19698.36747,-50432.25872,643.609175,4419.363172,18327.97049,744947.6749
2012/7/8,30.9,25.5,27.8,82,6.7,750082.7427,25021.26429,-72844.83999,-37507.7987,900.9089764,-22402.30775,638566.902
2012/7/9,32.9,25.8,29,76,0,751151.1549,29864.76621,-41914.88894,14874.82663,-2689.777564,21718.36647,767266.1643
2012/7/10,32.5,26.2,29.2,76,0,752329.232,34148.71717,17389.20062,31080.64833,-1802.311059,-16561.90412,814759.1483
2012/7/11,33.1,26.8,29.5,76,0,753550.2572,37670.27538,60772.10822,-27976.41066,950.9217813,7864.06543,828314.4356
2012/7/12,32.7,26.5,29.5,74,0,754870.4222,40376.72159,58076.36425,-19125.21524,1169.568661,2607.922776,827724.9713
2012/7/13,31.9,26.6,28.6,81,8.1,756369.0101,42244.08063,13958.62974,35737.38302,-995.2890209,-12940.42552,828713.5825
2012/7/14,33.4,26.5,29.4,78,0,757972.3146,43061.14125,-37884.57388,3363.988362,-1935.595323,20635.6102,789588.6667
2012/7/15,33.2,27.5,30,77,0,759502.6103,42505.50568,-60248.05495,-36959.7444,96.0102644,-24048.2541,686199.3994
2012/7/16,32.2,27.2,29.7,80,0,760924.4878,40458.37133,-38553.1583,13082.82865,2774.697434,22576.04071,810083.3701
2012/7/17,32.6,27.9,29.7,77,0,762165.4229,36819.55392,9631.276975,31103.11025,2220.068052,-16336.22031,837755.1378
2012/7/18,32.5,25.2,29.1,81,2.6,763186.2793,31595.33776,48842.6669,-26480.88725,-1391.082298,6859.836108,831382.7837
2012/7/19,34.6,25.8,30,76,1.3,763996.4992,24914.23184,51847.47811,-19004.84118,-3427.256602,4131.907865,842507.4108
2012/7/20,34.4,27.5,29.9,77,0,764424.1878,16764.38276,18161.09001,34595.97731,-1033.99061,-14187.64132,847606.0027
2012/7/21,36.4,27.8,31.6,67,0,764267.5122,7192.084374,-26448.02923,4251.315918,3442.920226,21903.35455,813388.763
2012/7/22,33.8,25.4,28.7,81,18,763388.6402,-3541.454746,-49147.52321,-34819.97351,5264.07727,-24717.57154,684457.5864
2012/7/23,29.5,26.1,27.7,78,0.5,761971.8008,-14645.74258,-33612.85812,12181.70767,2894.50776,23150.35548,754218.564
2012/7/24,27.7,24.6,25.8,93,67.6,760527.8795,-24852.11329,8033.613034,29184.43944,-1214.406107,-16934.25983,727201.9265
