date,风速,预测功率,风向,温度,湿度,气压,实际风速,实际功率（计量口径一）,Target
2021/01/02 10:15:00,3.3,0.004406,79,1.0,23,1016,2.1,-111.0,-0.0003
2021/01/02 10:30:00,3.1,0.003953,83,1.5,23,1016,1.8,-122.0,-0.00031
2021/01/02 10:45:00,3.0,0.003499,88,2.0,23,1016,1.6,-105.0,-0.000284
2021/01/02 11:00:00,2.9,0.003046,90,2.5,23,1016,2.1,-115.0,-0.000371
2021/01/02 11:15:00,2.8,0.002721,94,2.9,23,1016,2.1,-196.0,-0.000317
2021/01/02 11:30:00,2.7,0.002524,100,3.2,23,1016,1.9,-95.0,-0.00029
2021/01/02 11:45:00,2.6,0.002327,106,3.6,24,1016,1.8,-122.0,-0.000309
2021/01/02 12:00:00,2.6,0.00213,113,3.9,24,1016,2.1,-94.0,-0.000268
2021/01/02 12:15:00,2.5,0.001988,116,4.2,24,1016,2.3,-99.0,-0.000303
2021/01/02 12:30:00,2.6,0.001902,118,4.4,24,1016,2.6,-152.0,-0.000191
2021/01/02 12:45:00,2.5,0.001815,119,4.5,25,1015,2.5,-130.0,-0.000113
2021/01/02 13:00:00,2.6,0.001729,121,4.7,25,1015,2.3,-77.0,-0.000295
2021/01/02 13:15:00,2.6,0.001785,119,4.8,25,1015,2.2,-108.0,-0.000277
2021/01/02 13:30:00,2.8,0.001984,117,4.9,26,1015,2.1,-114.0,-0.000286
2021/01/02 13:45:00,2.9,0.002182,115,5.0,26,1015,2.4,-116.0,-0.000306
2021/01/02 14:00:00,3.0,0.002381,113,5.1,27,1015,2.0,-102.0,-0.000314
2021/01/02 14:15:00,3.2,0.002799,112,5.1,28,1015,2.0,-92.0,-0.000334
2021/01/02 14:30:00,3.3,0.003437,110,5.0,29,1015,2.4,-146.0,-0.000283
2021/01/02 14:45:00,3.4,0.004075,107,5.0,30,1014,2.1,-110.0,-0.000266
2021/01/02 15:00:00,3.4,0.004713,105,4.9,31,1014,2.5,-107.0,-0.000316
2021/01/02 15:15:00,3.5,0.005804,102,4.7,33,1014,2.9,-55.0,0.000176
2021/01/02 15:30:00,3.5,0.007347,98,4.3,36,1014,3.1,803.0,0.000677
2021/01/02 15:45:00,3.7,0.008891,96,3.8,38,1015,2.8,1366.0,0.000763
2021/01/02 16:00:00,3.8,0.010434,93,3.4,41,1015,3.0,1391.0,0.000622
2021/01/02 16:15:00,4.2,0.012203,90,2.8,45,1015,3.1,1188.0,0.001829
2021/01/02 16:30:00,4.7,0.014198,89,1.9,50,1015,3.2,2670.0,0.00287
2021/01/02 16:45:00,5.2,0.016192,86,1.0,55,1015,3.3,2880.0,0.008287
2021/01/02 17:00:00,5.7,0.018187,84,0.1,60,1015,3.5,2915.0,0.010915
2021/01/02 17:15:00,6.0,0.020198,83,-0.5,64,1015,4.4,13632.0,0.013861
2021/01/02 17:30:00,6.2,0.022225,84,-0.8,67,1015,4.5,15757.0,0.015037
2021/01/02 17:45:00,6.5,0.024253,85,-1.1,71,1015,5.0,20082.0,0.020293
2021/01/02 18:00:00,6.7,0.02628,86,-1.4,74,1015,5.2,23113.0,0.027082
2021/01/02 18:15:00,6.7,0.027799,87,-1.6,77,1015,5.2,23113.0,0.024111
2021/01/02 18:30:00,6.6,0.028809,89,-1.9,78,1015,5.2,23113.0,0.022689
2021/01/02 18:45:00,6.4,0.029819,91,-2.1,80,1016,5.2,23113.0,0.026936
2021/01/02 19:00:00,6.3,0.030829,94,-2.4,81,1016,5.2,23113.0,0.020737
2021/01/02 19:15:00,6.2,0.030811,96,-2.5,82,1016,5.2,23113.0,0.016454
2021/01/02 19:30:00,6.2,0.029764,97,-2.6,82,1016,5.2,23113.0,0.017845
2021/01/02 19:45:00,6.1,0.028717,100,-2.6,83,1016,5.2,23113.0,0.016684
2021/01/02 20:00:00,6.0,0.02767,102,-2.7,83,1016,5.2,23113.0,0.015043
2021/01/02 20:15:00,6.1,0.026582,103,-2.7,83,1016,4.3,12848.0,0.013002
2021/01/02 20:30:00,6.0,0.025451,104,-2.7,83,1016,4.3,13394.0,0.012895
2021/01/02 20:45:00,5.8,0.024321,103,-2.6,83,1017,4.4,14250.0,0.014284
2021/01/02 21:00:00,5.7,0.02319,103,-2.6,83,1017,4.2,12148.0,0.012172
2021/01/02 21:15:00,5.6,0.022573,105,-2.7,83,1017,4.0,10631.0,0.011127
2021/01/02 21:30:00,5.4,0.022469,106,-2.9,84,1017,4.1,11177.0,0.010707
2021/01/02 21:45:00,5.3,0.022366,107,-3.2,84,1017,3.9,9388.0,0.009502
2021/01/02 22:00:00,5.2,0.022262,109,-3.4,85,1017,3.8,7888.0,0.007886
2021/01/02 22:15:00,5.0,0.02192,111,-3.5,85,1017,3.4,4556.0,0.004431
2021/01/02 22:30:00,4.9,0.021339,116,-3.4,85,1017,3.3,3850.0,0.003529
2021/01/02 22:45:00,4.7,0.020759,119,-3.4,85,1018,3.3,4000.0,0.003452
2021/01/02 23:00:00,4.6,0.020178,124,-3.3,85,1018,3.1,3206.0,0.003328
2021/01/02 23:15:00,4.5,0.019648,127,-3.2,85,1018,3.1,3636.0,0.003804
2021/01/02 23:30:00,4.5,0.019167,129,-3.1,85,1018,3.5,4825.0,0.004248
2021/01/02 23:45:00,4.5,0.018687,129,-2.9,84,1018,3.3,5110.0,0.004835
2021/01/03 00:00:00,2.7,0.004825,132,-3.1,68,1018,3.9,9316.0,0.008462
2021/01/03 00:15:00,2.7,0.004543,132,-3.1,68,1018,3.8,8400.0,0.008169
2021/01/03 00:30:00,2.8,0.00454,135,-3.1,69,1018,3.8,8642.0,0.008599
2021/01/03 00:45:00,2.9,0.004537,136,-3.1,70,1018,3.9,8864.0,0.008212
2021/01/03 01:00:00,3.0,0.004534,139,-3.1,71,1018,3.9,10033.0,0.010166
2021/01/03 01:15:00,3.2,0.004514,141,-3.1,71,1018,3.5,5881.0,0.005861
2021/01/03 01:30:00,3.3,0.004478,142,-3.1,71,1018,2.6,1681.0,0.001802
2021/01/03 01:45:00,3.3,0.004441,145,-3.0,72,1017,2.5,129.0,-3e-05
2021/01/03 02:00:00,3.4,0.004405,146,-3.0,72,1017,2.6,149.0,-6e-06
2021/01/03 02:15:00,3.5,0.004462,147,-3.0,72,1017,2.6,29.0,-0.000131
2021/01/03 02:30:00,3.4,0.004612,148,-3.0,72,1017,2.7,-13.0,-0.000223
2021/01/03 02:45:00,3.3,0.004761,147,-2.9,73,1017,2.7,229.0,-8.3e-05
2021/01/03 03:00:00,3.3,0.004911,149,-2.9,73,1017,2.6,-62.0,-0.000226
2021/01/03 03:15:00,3.3,0.005082,149,-2.9,73,1017,2.6,4.0,-7.4e-05
2021/01/03 03:30:00,3.3,0.005273,147,-2.9,74,1017,2.4,-67.0,-0.000295
2021/01/03 03:45:00,3.3,0.005464,147,-3.0,74,1017,2.6,-75.0,-0.000251
2021/01/03 04:00:00,3.4,0.005655,146,-3.0,75,1017,2.5,-144.0,-0.000288
2021/01/03 04:15:00,3.4,0.0058,146,-3.1,76,1017,3.0,31.0,-0.000189
2021/01/03 04:30:00,3.2,0.005901,146,-3.3,77,1017,2.6,-47.0,-0.000198
2021/01/03 04:45:00,3.2,0.006001,148,-3.6,79,1017,2.7,-26.0,-0.000244
2021/01/03 05:00:00,3.1,0.006102,148,-3.8,80,1017,2.8,-129.0,-0.000226
2021/01/03 05:15:00,3.0,0.006204,150,-4.0,81,1017,2.8,511.0,0.000296
2021/01/03 05:30:00,3.0,0.006307,147,-4.1,82,1017,2.8,537.0,0.000484
2021/01/03 05:45:00,2.9,0.006411,146,-4.2,82,1017,2.7,772.0,0.001025
2021/01/03 06:00:00,2.9,0.006514,144,-4.3,83,1017,3.1,2250.0,0.001966
2021/01/03 06:15:00,2.9,0.006648,144,-4.4,83,1017,3.5,5920.0,0.005787
2021/01/03 06:30:00,2.9,0.006812,146,-4.4,84,1017,3.5,6491.0,0.006553
2021/01/03 06:45:00,3.0,0.006976,147,-4.5,84,1017,3.7,10252.0,0.009482
2021/01/03 07:00:00,3.0,0.00714,150,-4.5,85,1017,3.8,11359.0,0.011949
2021/01/03 07:15:00,3.0,0.007024,150,-4.4,85,1017,3.5,8780.0,0.008866
2021/01/03 07:30:00,2.9,0.006628,151,-4.1,84,1017,3.7,8348.0,0.007882
2021/01/03 07:45:00,2.8,0.006233,153,-3.9,83,1018,3.4,7725.0,0.007814
2021/01/03 08:00:00,2.7,0.005837,153,-3.6,82,1018,3.8,7116.0,0.005454
2021/01/03 08:15:00,2.4,0.005495,156,-3.1,80,1018,3.7,9477.0,0.00937
2021/01/03 08:30:00,2.1,0.005206,155,-2.4,77,1018,3.6,7192.0,0.007905
2021/01/03 08:45:00,1.7,0.004917,152,-1.7,73,1019,2.9,4152.0,0.003873
2021/01/03 09:00:00,1.4,0.004628,150,-1.0,70,1019,3.1,3729.0,0.003736
2021/01/03 09:15:00,1.2,0.004308,149,-0.2,67,1019,3.2,3172.0,0.002929
2021/01/03 09:30:00,1.3,0.003957,151,0.5,64,1019,3.2,4080.0,0.00417
2021/01/03 09:45:00,1.3,0.003607,153,1.2,62,1019,3.3,3820.0,0.003056
2021/01/03 10:00:00,1.4,0.003256,155,1.9,59,1019,3.1,3779.0,0.00367
2021/01/03 10:15:00,1.3,0.003014,151,2.6,57,1019,3.0,2807.0,0.003093
2021/01/03 10:30:00,0.9,0.00288,139,3.1,56,1019,3.5,4828.0,0.0
2021/01/03 10:45:00,0.6,0.002746,108,3.6,55,1019,3.6,5274.0,0.0
2021/01/03 11:00:00,0.6,0.002612,81,4.1,54,1019,4.4,13051.0,0.0
2021/01/03 11:15:00,0.7,0.002579,74,4.5,53,1019,4.7,15577.0,0.0
2021/01/03 11:30:00,0.9,0.002646,90,4.6,53,1019,4.2,11774.0,0.0
2021/01/03 11:45:00,1.2,0.002714,90,4.7,52,1018,4.3,11267.0,0.011041
2021/01/03 12:00:00,1.4,0.002781,98,4.8,52,1018,4.1,10325.0,0.009858
2021/01/03 12:15:00,1.6,0.002829,108,5.0,52,1018,3.3,4856.0,0.00451
2021/01/03 12:30:00,1.7,0.002858,121,5.1,52,1018,2.7,1487.0,0.001059
2021/01/03 12:45:00,1.9,0.002886,129,5.2,52,1017,2.8,803.0,0.000857
2021/01/03 13:00:00,2.2,0.002915,137,5.3,52,1017,2.6,65.0,-0.00012
2021/01/03 13:15:00,2.3,0.002976,140,5.4,52,1017,2.5,-96.0,-0.00025
2021/01/03 13:30:00,2.4,0.00307,138,5.7,51,1017,2.5,-159.0,-0.000353
2021/01/03 13:45:00,2.3,0.003163,137,5.9,50,1016,2.7,-112.0,-0.000297
2021/01/03 14:00:00,2.4,0.003257,135,6.2,49,1016,2.9,-16.0,-0.000172
2021/01/03 14:15:00,2.4,0.003302,135,6.3,49,1016,2.3,-114.0,4.5e-05
2021/01/03 14:30:00,2.5,0.003298,137,6.2,50,1016,2.7,-99.0,-0.0003
2021/01/03 14:45:00,2.5,0.003294,137,6.2,50,1015,3.2,-43.0,-0.000268
2021/01/03 15:00:00,2.5,0.00329,138,6.1,51,1015,2.9,807.0,0.000441
2021/01/03 15:15:00,2.5,0.00333,137,5.8,52,1015,2.7,1393.0,0.000794
2021/01/03 15:30:00,2.5,0.003414,133,5.1,55,1015,2.9,652.0,0.000273
2021/01/03 15:45:00,2.4,0.003497,128,4.5,58,1015,3.2,2197.0,0.001786
2021/01/03 16:00:00,2.4,0.003581,125,3.8,61,1015,3.4,3248.0,0.003028
2021/01/03 16:15:00,2.6,0.003942,121,3.0,64,1015,3.7,7876.0,0.007208
2021/01/03 16:30:00,2.8,0.004581,116,2.0,68,1015,4.0,9173.0,0.009602
2021/01/03 16:45:00,3.1,0.00522,112,1.0,72,1016,4.5,15378.0,0.014366
2021/01/03 17:00:00,3.4,0.005859,109,0.0,76,1016,5.1,23490.0,0.021844
2021/01/03 17:15:00,3.6,0.006824,106,-0.6,79,1016,5.6,29523.0,0.029046
2021/01/03 17:30:00,3.8,0.008117,102,-0.8,80,1016,5.8,32778.0,0.032866
2021/01/03 17:45:00,4.1,0.00941,100,-1.0,81,1016,6.0,32824.0,0.032185
2021/01/03 18:00:00,4.2,0.010703,97,-1.2,82,1016,5.6,29399.0,0.029022
2021/01/03 18:15:00,4.3,0.011772,95,-1.4,83,1016,5.2,21512.0,0.02169
2021/01/03 18:30:00,4.3,0.012619,97,-1.6,84,1016,5.0,19537.0,0.018951
2021/01/03 18:45:00,4.2,0.013466,98,-1.8,85,1016,5.2,22941.0,0.022074
2021/01/03 19:00:00,4.3,0.014313,99,-2.0,86,1016,5.3,24985.0,0.025604
2021/01/03 19:15:00,4.3,0.015004,101,-2.2,86,1016,5.5,26402.0,0.025456
2021/01/03 19:30:00,4.2,0.015539,102,-2.4,87,1016,5.6,29648.0,0.030523
2021/01/03 19:45:00,4.1,0.016074,104,-2.7,88,1017,5.6,28943.0,0.028199
2021/01/03 20:00:00,4.1,0.016609,106,-2.9,89,1017,5.8,30288.0,0.029942
2021/01/03 20:15:00,4.1,0.017125,107,-2.9,89,1017,5.6,28873.0,0.028895
2021/01/03 20:30:00,4.2,0.017622,109,-2.8,90,1017,5.5,27498.0,0.027204
2021/01/03 20:45:00,4.3,0.018118,111,-2.7,90,1017,5.9,32644.0,0.031556
2021/01/03 21:00:00,4.4,0.018615,113,-2.6,91,1017,5.9,34895.0,0.034828
2021/01/03 21:15:00,4.4,0.018781,115,-2.5,91,1017,6.5,46251.0,0.044911
2021/01/03 21:30:00,4.4,0.018616,118,-2.4,91,1017,6.7,50012.0,0.048726
2021/01/03 21:45:00,4.4,0.018451,123,-2.4,91,1017,6.3,44029.0,0.044012
2021/01/03 22:00:00,4.4,0.018286,126,-2.3,91,1017,6.0,37253.0,0.036774
2021/01/03 22:15:00,4.3,0.017991,128,-2.3,91,1017,5.7,34106.0,0.033561
2021/01/03 22:30:00,4.1,0.017566,129,-2.4,91,1017,5.5,30035.0,0.029711
2021/01/03 22:45:00,3.9,0.017141,130,-2.5,91,1017,5.6,32918.0,0.032076
2021/01/03 23:00:00,3.7,0.016716,131,-2.6,91,1017,5.4,29765.0,0.029757
2021/01/03 23:15:00,3.6,0.016632,134,-2.6,91,1017,5.5,29712.0,0.028146
2021/01/03 23:30:00,3.5,0.01689,137,-2.7,92,1017,5.5,29343.0,0.029174
2021/01/03 23:45:00,3.6,0.017149,141,-2.7,92,1017,5.6,30307.0,0.028321
2021/01/04 00:00:00,4.0,0.017604,117,-3.2,95,1017,5.8,32955.0,0.032593
2021/01/04 00:15:00,3.9,0.017218,120,-3.2,95,1017,6.0,36530.0,0.035309
2021/01/04 00:30:00,3.8,0.016632,123,-3.3,95,1017,6.3,40764.0,0.039467
2021/01/04 00:45:00,3.7,0.016045,128,-3.4,96,1017,6.2,41506.0,0.040196
2021/01/04 01:00:00,3.6,0.015459,132,-3.5,96,1017,6.1,38691.0,0.038633
2021/01/04 01:15:00,3.7,0.015546,137,-3.6,96,1017,5.8,34686.0,0.03404
2021/01/04 01:30:00,3.8,0.016306,145,-3.6,96,1017,5.8,34092.0,0.034107
2021/01/04 01:45:00,4.0,0.017065,152,-3.5,96,1016,5.2,27284.0,0.027564
2021/01/04 02:00:00,4.2,0.017825,158,-3.5,96,1016,5.4,29212.0,0.028124
2021/01/04 02:15:00,4.2,0.017613,159,-3.5,96,1016,5.8,35641.0,0.035155
2021/01/04 02:30:00,3.9,0.016429,156,-3.6,96,1016,5.2,27906.0,0.028224
2021/01/04 02:45:00,3.7,0.015246,154,-3.7,96,1016,5.5,31940.0,0.031475
2021/01/04 03:00:00,3.4,0.014062,150,-3.8,96,1016,6.3,46648.0,0.04467
2021/01/04 03:15:00,3.4,0.013471,146,-3.8,96,1016,6.5,49712.0,0.049799
2021/01/04 03:30:00,3.5,0.013474,141,-3.7,96,1016,5.5,29827.0,0.031117
2021/01/04 03:45:00,3.7,0.013477,137,-3.6,96,1015,4.3,14013.0,0.015642
2021/01/04 04:00:00,3.8,0.01348,133,-3.5,96,1015,3.2,4071.0,0.004888
2021/01/04 04:15:00,4.0,0.01325,133,-3.5,96,1015,2.8,1214.0,0.001132
2021/01/04 04:30:00,4.1,0.012787,137,-3.6,96,1015,2.8,694.0,0.000696
2021/01/04 04:45:00,4.2,0.012325,140,-3.6,97,1014,2.6,-75.0,-0.00032
2021/01/04 05:00:00,4.4,0.011862,143,-3.7,97,1014,2.6,-91.0,-0.000221
2021/01/04 05:15:00,4.2,0.010826,147,-3.7,97,1014,2.8,159.0,-0.000125
2021/01/04 05:30:00,3.9,0.009216,151,-3.7,97,1014,2.5,167.0,3.5e-05
2021/01/04 05:45:00,3.5,0.007606,155,-3.8,97,1014,2.5,-54.0,-0.000187
2021/01/04 06:00:00,3.3,0.005996,160,-3.8,97,1014,2.5,-127.0,-0.000323
2021/01/04 06:15:00,2.9,0.004868,164,-3.8,97,1014,3.0,147.0,-3e-06
2021/01/04 06:30:00,2.5,0.004221,164,-3.8,97,1014,2.5,19.0,-0.000129
2021/01/04 06:45:00,2.1,0.003575,163,-3.8,97,1015,2.5,-108.0,-0.000311
2021/01/04 07:00:00,1.7,0.002928,163,-3.8,97,1015,2.5,-121.0,-0.000296
2021/01/04 07:15:00,1.4,0.002521,168,-3.7,97,1015,2.4,-105.0,-0.000311
2021/01/04 07:30:00,1.3,0.002352,176,-3.4,97,1015,2.4,-125.0,-0.000283
2021/01/04 07:45:00,1.3,0.002184,184,-3.2,96,1016,2.8,-165.0,-0.000397
2021/01/04 08:00:00,1.2,0.002015,194,-2.9,96,1016,3.3,642.0,5.5e-05
2021/01/04 08:15:00,1.1,0.001835,202,-2.5,95,1016,3.4,3857.0,0.003472
2021/01/04 08:30:00,0.9,0.001643,216,-1.9,93,1016,3.4,5217.0,0.0
2021/01/04 08:45:00,0.6,0.001452,231,-1.3,90,1017,3.5,6706.0,0.0
2021/01/04 09:00:00,0.6,0.00126,261,-0.7,88,1017,3.6,7572.0,0.0
2021/01/04 09:15:00,0.6,0.001116,279,-0.1,86,1017,3.6,7247.0,0.0
2021/01/04 09:30:00,0.7,0.00102,297,0.6,83,1017,3.4,5158.0,0.0
2021/01/04 09:45:00,0.9,0.000923,311,1.3,80,1017,2.5,926.0,0.0
2021/01/04 10:00:00,1.1,0.000827,319,2.0,77,1017,2.4,93.0,-3e-06
2021/01/04 10:15:00,1.0,0.000727,331,2.6,74,1017,2.3,-139.0,-0.000253
2021/01/04 10:30:00,0.8,0.000624,346,3.1,72,1017,1.9,-111.0,-0.00031
2021/01/04 10:45:00,0.7,0.000521,0,3.6,69,1016,1.5,-124.0,-0.000319
2021/01/04 11:00:00,0.7,0.000418,27,4.1,67,1016,1.0,-98.0,-0.000278
2021/01/04 11:15:00,0.7,0.000352,34,4.5,65,1016,0.6,-101.0,-0.000316
2021/01/04 11:30:00,0.6,0.000323,31,5.0,63,1016,1.5,-97.0,-0.000286
2021/01/04 11:45:00,0.4,0.000294,14,5.4,62,1015,2.1,-130.0,-0.000317
2021/01/04 12:00:00,0.3,0.000265,0,5.9,60,1015,2.6,417.0,0.000107
2021/01/04 12:15:00,0.3,0.000251,0,6.3,59,1015,2.6,-68.0,-0.000212
2021/01/04 12:30:00,0.3,0.00025,18,6.6,58,1015,2.0,-110.0,-0.000292
2021/01/04 12:45:00,0.4,0.000249,34,6.9,57,1014,1.8,-100.0,-0.000275
2021/01/04 13:00:00,0.4,0.000248,45,7.2,56,1014,1.7,-98.0,-0.000279
2021/01/04 13:15:00,0.5,0.000277,53,7.3,55,1014,1.7,-92.0,-0.000274
2021/01/04 13:30:00,0.7,0.000336,63,7.4,55,1014,2.4,-123.0,-0.000303
2021/01/04 13:45:00,0.8,0.000395,67,7.4,56,1014,3.0,58.0,-0.000257
2021/01/04 14:00:00,0.9,0.000454,72,7.5,56,1014,3.0,709.0,0.000343
2021/01/04 14:15:00,1.1,0.000558,75,7.5,56,1014,3.8,5735.0,0.005366
2021/01/04 14:30:00,1.4,0.000706,73,7.4,57,1014,4.3,12543.0,0.011518
2021/01/04 14:45:00,1.6,0.000853,72,7.4,57,1013,3.8,8730.0,0.008848
2021/01/04 15:00:00,1.8,0.001001,71,7.3,58,1013,3.6,7208.0,0.007863
2021/01/04 15:15:00,1.9,0.001302,72,7.1,60,1013,3.5,5617.0,0.00585
2021/01/04 15:30:00,1.8,0.001756,74,6.7,63,1013,3.3,4464.0,0.004426
2021/01/04 15:45:00,1.8,0.002209,74,6.2,67,1014,3.0,2135.0,0.002097
2021/01/04 16:00:00,1.6,0.002663,76,5.8,70,1014,3.7,6045.0,0.005587
2021/01/04 16:15:00,1.7,0.003569,77,5.2,73,1014,4.3,12520.0,0.01187
2021/01/04 16:30:00,1.9,0.004928,81,4.5,75,1014,4.7,14930.0,0.014642
2021/01/04 16:45:00,2.2,0.006286,85,3.8,76,1014,4.7,15704.0,0.015846
2021/01/04 17:00:00,2.4,0.007645,88,3.1,78,1014,4.5,14134.0,0.014213
2021/01/04 17:15:00,2.5,0.009188,88,2.6,80,1014,4.4,13791.0,0.014117
2021/01/04 17:30:00,2.5,0.010915,85,2.4,81,1014,4.1,9329.0,0.009367
2021/01/04 17:45:00,2.4,0.012642,83,2.2,82,1015,3.7,6848.0,0.00695
2021/01/04 18:00:00,2.4,0.014369,81,2.0,83,1015,3.9,8848.0,0.007926
2021/01/04 18:15:00,2.5,0.016289,78,1.9,84,1015,4.4,15596.0,0.014645
2021/01/04 18:30:00,2.6,0.018403,77,2.0,84,1015,4.4,14838.0,0.014543
2021/01/04 18:45:00,2.7,0.020517,73,2.0,84,1015,4.8,17259.0,0.017898
2021/01/04 19:00:00,2.8,0.022631,72,2.1,84,1015,4.9,19783.0,0.018851
2021/01/04 19:15:00,3.0,0.024812,63,2.1,84,1015,6.2,39316.0,0.040139
2021/01/04 19:30:00,3.5,0.027061,51,2.0,84,1015,6.1,39630.0,0.038683
2021/01/04 19:45:00,4.0,0.02931,44,2.0,83,1016,6.9,51087.0,0.043993
2021/01/04 20:00:00,4.6,0.031559,37,1.9,83,1016,7.2,60894.0,0.057762
2021/01/04 20:15:00,5.4,0.034707,34,1.8,82,1016,7.2,62939.0,0.059995
2021/01/04 20:30:00,6.2,0.038754,32,1.7,80,1016,7.4,68434.0,0.064709
2021/01/04 20:45:00,7.0,0.042801,32,1.6,79,1017,6.9,60611.0,0.061488
2021/01/04 21:00:00,7.9,0.046848,30,1.5,77,1017,6.4,49965.0,0.051367
2021/01/04 21:15:00,8.2,0.049641,31,1.3,76,1017,6.7,49753.0,0.047667
2021/01/04 21:30:00,8.1,0.05118,30,1.0,75,1017,6.3,48849.0,0.047686
2021/01/04 21:45:00,8.0,0.05272,31,0.8,74,1017,6.2,47336.0,0.04772
2021/01/04 22:00:00,7.9,0.054259,30,0.5,73,1017,6.1,41364.0,0.040924
2021/01/04 22:15:00,7.8,0.055539,31,0.3,72,1017,5.5,30333.0,0.029403
2021/01/04 22:30:00,7.8,0.056558,32,0.1,72,1017,5.6,30425.0,0.027792
2021/01/04 22:45:00,7.7,0.057577,32,0.0,72,1018,6.0,44127.0,0.042052
2021/01/04 23:00:00,7.7,0.058596,33,-0.2,72,1018,6.2,46006.0,0.04385
2021/01/04 23:15:00,7.6,0.058714,34,-0.3,72,1018,6.5,49442.0,0.044229
2021/01/04 23:30:00,7.5,0.057932,35,-0.4,72,1018,6.6,52405.0,0.053628
2021/01/04 23:45:00,7.5,0.057149,35,-0.5,73,1018,6.6,48533.0,0.044766
2021/01/05 00:00:00,8.2,0.061904,33,-2.0,86,1017,6.5,44275.0,0.043777
2021/01/05 00:15:00,8.2,0.062016,33,-2.1,86,1017,6.3,47541.0,0.046728
